Date,USD_per_Gold_oz,USD_per_Bitcoin,Gold_oz_per_Bitcoin
2018-09-05,1194.9000244140625,6792.830078125,5.684852238124247
2018-09-06,1197.9000244140625,6529.169921875,5.450513222143609
2018-09-07,1193.5999755859375,6467.06982421875,5.418121612346774
2018-09-10,1193.0,6329.7001953125,5.305700079893127
2018-09-11,1195.4000244140625,6321.2001953125,5.287937147576102
2018-09-12,1204.699951171875,6351.7998046875,5.27251603065873
2018-09-13,1202.0,6517.31005859375,5.422054957232737
2018-09-14,1195.0,6512.7099609375,5.449966494508368
2018-09-17,1199.699951171875,6281.2001953125,5.235642619787541
2018-09-18,1196.800048828125,6371.2998046875,5.323612587521289
2018-09-19,1202.199951171875,6398.5400390625,5.322359257147998
2018-09-20,1206.199951171875,6519.669921875,5.405131972970866
2018-09-21,1196.199951171875,6734.9501953125,5.630287970430451
2018-09-24,1199.300048828125,6595.41015625,5.499382879784412
2018-09-25,1200.0,6446.47021484375,5.372058512369792
2018-09-26,1194.0,6495.0,5.439698492462312
2018-09-27,1182.300048828125,6676.75,5.647255116514524
2018-09-28,1191.5,6644.1298828125,5.576273506347041
2018-10-01,1187.0999755859375,6589.6201171875,5.551023715534108
2018-10-02,1202.4000244140625,6556.10009765625,5.452511613887467
2018-10-03,1198.300048828125,6502.58984375,5.426512207947579
2018-10-04,1197.199951171875,6576.68994140625,5.493393091913076
2018-10-05,1201.199951171875,6622.47998046875,5.513220321069731
2018-10-08,1184.4000244140625,6652.22998046875,5.616539887999151
2018-10-09,1187.199951171875,6642.64013671875,5.595215978708436
2018-10-10,1189.300048828125,6585.52978515625,5.537315660287151
2018-10-11,1223.5,6256.240234375,5.113396186657131
2018-10-12,1218.0999755859375,6274.580078125,5.15112076503143
2018-10-15,1226.4000244140625,6596.5400390625,5.378783355956089
2018-10-16,1227.300048828125,6596.10986328125,5.374488389843608
2018-10-17,1223.699951171875,6544.43017578125,5.348067693811692
2018-10-18,1226.5,6476.7099609375,5.280644077405218
2018-10-19,1225.300048828125,6465.41015625,5.276593404557119
2018-10-22,1221.199951171875,6487.16015625,5.312119567336095
2018-10-23,1233.4000244140625,6475.740234375,5.250316285222515
2018-10-24,1227.800048828125,6495.83984375,5.2906333160272805
2018-10-25,1229.0999755859375,6476.2900390625,5.269132021563273
2018-10-26,1232.5,6474.75,5.253346855983772
2018-10-29,1224.5,6332.6298828125,5.171604640924867
2018-10-30,1222.5999755859375,6334.27001953125,5.180983270096597
2018-10-31,1212.300048828125,6317.60986328125,5.211259266539001
2018-11-01,1236.0,6377.77978515625,5.160016007407969
2018-11-02,1230.9000244140625,6388.43994140625,5.190055906000407
2018-11-05,1229.800048828125,6419.66015625,5.220084486390521
2018-11-06,1223.800048828125,6461.009765625,5.279465196795729
2018-11-07,1226.199951171875,6530.14013671875,5.325510028342374
2018-11-08,1222.9000244140625,6453.72021484375,5.2773898814303895
2018-11-09,1206.4000244140625,6385.6201171875,5.29312001654587
2018-11-12,1201.300048828125,6371.27001953125,5.303645850798441
2018-11-13,1199.199951171875,6359.490234375,5.303110818308838
2018-11-14,1207.9000244140625,5738.35009765625,4.7506829883871005
2018-11-15,1212.800048828125,5648.02978515625,4.657016455939041
2018-11-16,1220.800048828125,5575.5498046875,4.567127770055057
2018-11-19,1223.0999755859375,4871.490234375,3.982904367274856
2018-11-20,1219.0,4451.8701171875,3.652067364386793
2018-11-21,1225.800048828125,4602.169921875,3.7544213889326494
2018-11-23,1221.0,4347.10986328125,3.560286538313882
2018-11-26,1220.199951171875,3779.1298828125,3.0971398410424777
2018-11-27,1211.199951171875,3820.719970703125,3.154491516455607
2018-11-28,1221.4000244140625,4257.419921875,3.485688420480748
2018-11-29,1224.0999755859375,4278.8466796875,3.4955042602948776
2018-11-30,1220.199951171875,4017.2685546875,3.2923034874975463
2018-12-03,1233.9000244140625,3894.130859375,3.1559533044212325
2018-12-04,1241.0999755859375,3956.893798828125,3.18821519351012
2018-12-06,1238.0999755859375,3521.101806640625,2.843955961613071
2018-12-07,1246.800048828125,3419.937255859375,2.742971705105237
2018-12-10,1243.699951171875,3502.656005859375,2.816319163282913
2018-12-11,1241.9000244140625,3424.588134765625,2.757539308674521
2018-12-12,1244.4000244140625,3486.9501953125,2.802113570316236
2018-12-13,1242.699951171875,3313.67724609375,2.6665143448094035
